Date,Country,Province,Confirmed,Recovered,Deaths,New Confirmed,New Recovered,New Death
2020/1/22,China,Anhui,1,0,0,1,0,0
2020/1/22,China,Zhejiang,10,0,0,10,0,0
2020/1/22,China,Yunnan,1,0,0,1,0,0
2020/1/22,China,Tianjin,4,0,0,4,0,0
2020/1/22,China,Taiwan,1,0,0,1,0,0
2020/1/22,China,Sichuan,5,0,0,5,0,0
2020/1/22,China,Shanghai,9,0,0,9,0,0
2020/1/22,China,Shandong,2,0,0,2,0,0
2020/1/22,China,Ningxia,1,0,0,1,0,0
2020/1/22,China,Liaoning,2,0,0,2,0,0
2020/1/22,China,Jilin,0,0,0,0,0,0
2020/1/22,China,Jiangxi,2,0,0,2,0,0
2020/1/22,China,Hunan,4,0,0,4,0,0
2020/1/22,China,Shanxi,1,0,0,1,0,0
2020/1/22,China,Hongkong,0,0,0,0,0,0
2020/1/22,China,Hubei,444,28,17,444,28,17
2020/1/22,China,Beijing,10,0,0,10,0,0
2020/1/22,China,Chongqing,6,0,0,6,0,0
2020/1/22,China,Fujian,1,0,0,1,0,0
2020/1/22,China,Guangxi,2,0,0,2,0,0
2020/1/22,China,Guangdong,26,0,0,26,0,0
2020/1/22,China,Guizhou,1,0,0,1,0,0
2020/1/22,China,Hainan,4,0,0,4,0,0
2020/1/22,China,Hebei,1,0,0,1,0,0
2020/1/22,China,Heilongjiang,0,0,0,0,0,0
2020/1/22,China,Henan,5,0,0,5,0,0
2020/1/23,China,Shandong,6,0,0,4,0,0
2020/1/23,China,Neimenggu,0,0,0,0,0,0
2020/1/23,China,Ningxia,1,0,0,0,0,0
2020/1/23,China,Shaanxi,3,0,0,3,0,0
2020/1/23,China,Liaoning,3,0,0,1,0,0
2020/1/23,China,Shanghai,16,0,0,7,0,0
2020/1/23,China,Yunnan,1,0,0,0,0,0
2020/1/23,China,Sichuan,8,0,0,3,0,0
2020/1/23,China,Taiwan,1,0,0,0,0,0
2020/1/23,China,Tianjin,4,0,0,0,0,0
2020/1/23,China,Xinjiang,2,0,0,2,0,0
2020/1/23,China,Zhejiang,27,0,0,17,0,0
2020/1/23,China,Jilin,1,0,0,1,0,0
2020/1/23,China,Shanxi,1,0,0,0,0,0
2020/1/23,China,Jiangxi,3,0,0,1,0,0
2020/1/23,China,Heilongjiang,2,0,0,2,0,0
2020/1/23,China,Hunan,9,0,0,5,0,0
2020/1/23,China,Jiangsu,5,0,0,5,0,0
2020/1/23,China,Anhui,9,0,0,8,0,0
2020/1/23,China,Beijing,22,0,0,12,0,0
2020/1/23,China,Chongqing,9,0,0,3,0,0
2020/1/23,China,Fujian,5,0,0,4,0,0
2020/1/23,China,Guangdong,32,2,0,6,2,0
2020/1/23,China,Guangxi,5,0,0,3,0,0
2020/1/23,China,Gansu,2,0,0,2,0,0
2020/1/23,China,Hainan,5,0,0,1,0,0
2020/1/23,China,Hebei,1,0,0,0,0,0
2020/1/23,China,Henan,5,0,0,0,0,0
2020/1/23,China,Hongkong,2,0,0,2,0,0
2020/1/23,China,Hubei,444,28,17,0,0,0
2020/1/23,China,Guizhou,3,0,0,2,0,0
2020/1/24,China,Shandong,15,0,0,9,0,0
2020/1/24,China,Liaoning,4,0,0,1,0,0
2020/1/24,China,Neimenggu,2,0,0,2,0,0
2020/1/24,China,Ningxia,2,0,0,1,0,0
2020/1/24,China,Qinghai,0,0,0,0,0,0
2020/1/24,China,Shaanxi,5,0,0,2,0,0
2020/1/24,China,Shanghai,20,1,0,4,1,0
2020/1/24,China,Zhejiang,43,1,0,16,1,0
2020/1/24,China,Sichuan,15,0,0,7,0,0
2020/1/24,China,Taiwan,1,0,0,0,0,0
2020/1/24,China,Tianjin,8,0,0,4,0,0
2020/1/24,China,Xinjiang,2,0,0,0,0,0
2020/1/24,China,Yunnan,5,0,0,4,0,0
2020/1/24,China,Jilin,3,0,0,2,0,0
2020/1/24,China,Shanxi,1,0,0,0,0,0
2020/1/24,China,Jiangxi,7,0,0,4,0,0
2020/1/24,China,Heilongjiang,4,0,1,2,0,1
2020/1/24,China,Hunan,24,0,0,15,0,0
2020/1/24,China,Anhui,15,0,0,6,0,0
2020/1/24,China,Beijing,36,1,0,14,1,0
2020/1/24,China,Chongqing,27,0,0,18,0,0
2020/1/24,China,Fujian,10,0,0,5,0,0
2020/1/24,China,Gansu,2,0,0,0,0,0
2020/1/24,China,Guangdong,53,2,0,21,0,0
2020/1/24,China,Guangxi,13,0,0,8,0,0
2020/1/24,China,Jiangsu,9,0,0,4,0,0
2020/1/24,China,Hainan,8,0,0,3,0,0
2020/1/24,China,Hebei,2,0,1,1,0,1
2020/1/24,China,Henan,9,0,0,4,0,0
2020/1/24,China,Hongkong,2,0,0,0,0,0
2020/1/24,China,Hubei,549,31,24,105,3,7
2020/1/24,China,Guizhou,3,0,0,0,0,0
2020/1/25,China,Jilin,4,0,0,1,0,0
2020/1/25,China,Liaoning,16,0,0,12,0,0
2020/1/25,China,Neimenggu,7,0,0,5,0,0
2020/1/25,China,Ningxia,3,0,0,1,0,0
2020/1/25,China,Qinghai,1,0,0,1,0,0
2020/1/25,China,Shaanxi,15,0,0,10,0,0
2020/1/25,China,Shandong,27,0,0,12,0,0
2020/1/25,China,Sichuan,28,0,0,13,0,0
2020/1/25,China,Shanxi,6,0,0,5,0,0
2020/1/25,China,Taiwan,3,0,0,2,0,0
2020/1/25,China,Tianjin,10,0,0,2,0,0
2020/1/25,China,Xinjiang,3,0,0,1,0,0
2020/1/25,China,Jiangxi,18,0,0,11,0,0
2020/1/25,China,Zhejiang,62,1,0,19,0,0
2020/1/25,China,Shanghai,33,1,0,13,0,0
2020/1/25,China,Yunnan,11,0,0,6,0,0
2020/1/25,China,Jiangsu,18,1,0,9,1,0
2020/1/25,China,Hubei,730,32,39,181,1,15
2020/1/25,China,Hunan,43,0,0,19,0,0
2020/1/25,China,Anhui,39,0,0,24,0,0
2020/1/25,China,Beijing,41,2,0,5,1,0
2020/1/25,China,Chongqing,57,0,0,30,0,0
2020/1/25,China,Gansu,4,0,0,2,0,0
2020/1/25,China,Guangdong,78,2,0,25,0,0
2020/1/25,China,Fujian,18,0,0,8,0,0
2020/1/25,China,Guizhou,4,0,0,1,0,0
2020/1/25,China,Hainan,19,0,0,11,0,0
2020/1/25,China,Hebei,8,0,1,6,0,0
2020/1/25,China,Heilongjiang,9,0,1,5,0,0
2020/1/25,China,Henan,32,0,0,23,0,0
2020/1/25,China,Hongkong,5,0,0,3,0,0
2020/1/25,China,Guangxi,23,0,0,10,0,0
2020/1/26,China,Shandong,46,0,0,19,0,0
2020/1/26,China,Liaoning,21,0,0,5,0,0
2020/1/26,China,Ningxia,4,0,0,1,0,0
2020/1/26,China,Qinghai,1,0,0,0,0,0
2020/1/26,China,Shaanxi,22,0,0,7,0,0
2020/1/26,China,Shanghai,40,1,1,7,0,1
2020/1/26,China,Jilin,4,0,0,0,0,0
2020/1/26,China,Sichuan,44,0,0,16,0,0
2020/1/26,China,Taiwan,4,0,0,1,0,0
2020/1/26,China,Tianjin,14,0,0,4,0,0
2020/1/26,China,Xinjiang,4,0,0,1,0,0
2020/1/26,China,Yunnan,16,0,0,5,0,0
2020/1/26,China,Zhejiang,104,1,0,42,0,0
2020/1/26,China,Shanxi,9,0,0,3,0,0
2020/1/26,China,Jiangxi,36,0,0,18,0,0
2020/1/26,China,Neimenggu,7,0,0,0,0,0
2020/1/26,China,Hunan,69,0,0,26,0,0
2020/1/26,China,Anhui,60,0,0,21,0,0
2020/1/26,China,Beijing,68,2,0,27,0,0
2020/1/26,China,Chongqing,75,0,0,18,0,0
2020/1/26,China,Fujian,35,0,0,17,0,0
2020/1/26,China,Guangdong,111,2,0,33,0,0
2020/1/26,China,Guangxi,36,0,0,13,0,0
2020/1/26,China,Guizhou,5,0,0,1,0,0
2020/1/26,China,Gansu,7,0,0,3,0,0
2020/1/26,China,Hebei,13,0,1,5,0,0
2020/1/26,China,Heilongjiang,15,0,1,6,0,0
2020/1/26,China,Henan,83,0,1,51,0,1
2020/1/26,China,Jiangsu,33,1,0,15,0,0
2020/1/26,China,Hongkong,5,0,0,0,0,0
2020/1/26,China,Hubei,1058,42,52,328,10,13
2020/1/26,China,Hainan,22,0,0,3,0,0
2020/1/27,China,Sichuan,69,0,0,25,0,0
2020/1/27,China,Qinghai,6,0,0,5,0,0
2020/1/27,China,Shaanxi,35,0,0,13,0,0
2020/1/27,China,Shandong,75,1,0,29,1,0
2020/1/27,China,Shanghai,53,3,1,13,2,0
2020/1/27,China,Shanxi,13,0,0,4,0,0
2020/1/27,China,Taiwan,5,0,0,1,0,0
2020/1/27,else,else,28,3,0,28,3,0
2020/1/27,China,Xinjiang,5,0,0,1,0,0
2020/1/27,China,Yunnan,26,0,0,10,0,0
2020/1/27,China,Zhejiang,128,1,0,24,0,0
2020/1/27,France,France,3,0,0,3,0,0
2020/1/27,Korea,Korea,4,0,0,4,0,0
2020/1/27,United States of America,United States of America,5,0,0,5,0,0
2020/1/27,China,Ningxia,7,0,0,3,0,0
2020/1/27,China,Tianjin,22,0,0,8,0,0
2020/1/27,China,Neimenggu,11,0,0,4,0,0
2020/1/27,China,Liaoning,27,0,0,6,0,0
2020/1/27,China,Anhui,70,0,0,10,0,0
2020/1/27,China,Jilin,6,0,0,2,0,0
2020/1/27,China,Beijing,80,2,1,12,0,1
2020/1/27,China,Chongqing,110,0,0,35,0,0
2020/1/27,China,Fujian,59,0,0,24,0,0
2020/1/27,China,Gansu,14,0,0,7,0,0
2020/1/27,China,Guangxi,46,0,0,10,0,0
2020/1/27,China,Guizhou,7,0,0,2,0,0
2020/1/27,China,Hainan,33,0,1,11,0,1
2020/1/27,China,Guangdong,151,3,0,40,1,0
2020/1/27,China,Heilongjiang,21,0,1,6,0,0
2020/1/27,China,Henan,128,0,1,45,0,0
2020/1/27,China,Hongkong,8,0,0,3,0,0
2020/1/27,China,Hubei,1423,47,76,365,5,24
2020/1/27,China,Hunan,100,0,0,31,0,0
2020/1/27,China,Jiangsu,47,1,0,14,0,0
2020/1/27,China,Jiangxi,48,1,0,12,1,0
2020/1/27,China,Hebei,18,0,1,5,0,0
2020/1/28,China,Sichuan,90,0,0,21,0,0
2020/1/28,else,else,40,6,0,12,3,0
2020/1/28,China,Qinghai,6,0,0,0,0,0
2020/1/28,China,Shaanxi,46,0,0,11,0,0
2020/1/28,China,Shandong,95,0,0,20,-1,0
2020/1/28,China,Shanghai,66,4,1,13,1,0
2020/1/28,China,Shanxi,20,0,0,7,0,0
2020/1/28,China,Taiwan,8,0,0,3,0,0
2020/1/28,China,Neimenggu,15,0,0,4,0,0
2020/1/28,China,Xinjiang,10,0,0,5,0,0
2020/1/28,China,Yunnan,44,0,0,18,0,0
2020/1/28,China,Zhejiang,173,3,0,45,2,0
2020/1/28,France,France,3,0,0,0,0,0
2020/1/28,Germany,Germany,1,0,0,1,0,0
2020/1/28,Korea,Korea,4,0,0,0,0,0
2020/1/28,United States of America,United States of America,5,0,0,0,0,0
2020/1/28,China,Tianjin,24,0,0,2,0,0
2020/1/28,China,Liaoning,34,0,0,7,0,0
2020/1/28,China,Ningxia,11,0,0,4,0,0
2020/1/28,China,Jiangxi,72,3,0,24,2,0
2020/1/28,China,Anhui,106,0,0,36,0,0
2020/1/28,China,Beijing,91,4,1,11,2,0
2020/1/28,China,Chongqing,132,0,0,22,0,0
2020/1/28,China,Fujian,80,0,0,21,0,0
2020/1/28,China,Gansu,19,0,0,5,0,0
2020/1/28,China,Guangdong,207,4,0,56,1,0
2020/1/28,China,Guangxi,51,2,0,5,2,0
2020/1/28,China,Guizhou,9,0,0,2,0,0
2020/1/28,China,Jilin,8,0,0,2,0,0
2020/1/28,China,Hebei,33,0,1,15,0,0
2020/1/28,China,Heilongjiang,30,0,1,9,0,0
2020/1/28,China,Henan,168,0,1,40,0,0
2020/1/28,China,Hongkong,8,0,0,0,0,0
2020/1/28,China,Hubei,2714,52,100,1291,5,24
2020/1/28,China,Hunan,143,0,0,43,0,0
2020/1/28,China,Jiangsu,70,1,0,23,0,0
2020/1/28,China,Hainan,40,0,1,7,0,0
2020/1/29,China,Ningxia,12,0,0,1,0,0
2020/1/29,China,Qinghai,6,0,0,0,0,0
2020/1/29,China,Shaanxi,56,0,0,10,0,0
2020/1/29,China,Shandong,130,1,0,35,1,0
2020/1/29,China,Shanghai,96,5,1,30,1,0
2020/1/29,China,Shanxi,27,1,0,7,1,0
2020/1/29,China,Sichuan,108,1,1,18,1,1
2020/1/29,China,Taiwan,8,0,0,0,0,0
2020/1/29,China,Yunnan,55,0,0,11,0,0
2020/1/29,China,Xinjiang,13,0,0,3,0,0
2020/1/29,China,Xizang,0,0,0,0,0,0
2020/1/29,China,Zhejiang,296,3,0,123,0,0
2020/1/29,France,France,4,0,0,1,0,0
2020/1/29,Germany,Germany,4,0,0,3,0,0
2020/1/29,Korea,Korea,4,0,0,0,0,0
2020/1/29,China,Neimenggu,16,0,0,1,0,0
2020/1/29,else,else,54,6,0,14,0,0
2020/1/29,China,Tianjin,27,0,0,3,0,0
2020/1/29,United States of America,United States of America,5,0,0,0,0,0
2020/1/29,China,Liaoning,39,1,0,5,1,0
2020/1/29,China,Jiangxi,109,3,0,37,0,0
2020/1/29,China,Jilin,9,0,0,1,0,0
2020/1/29,China,Anhui,152,2,0,46,2,0
2020/1/29,China,Beijing,111,4,1,20,0,0
2020/1/29,China,Chongqing,147,1,0,15,1,0
2020/1/29,China,Fujian,84,0,0,4,0,0
2020/1/29,China,Guangdong,277,5,0,70,1,0
2020/1/29,China,Guangxi,58,2,0,7,0,0
2020/1/29,China,Guizhou,9,1,0,0,1,0
2020/1/29,China,Gansu,24,0,0,5,0,0
2020/1/29,China,Hebei,48,0,1,15,0,0
2020/1/29,China,Heilongjiang,38,0,1,8,0,0
2020/1/29,China,Henan,206,1,2,38,1,1
2020/1/29,China,Hongkong,10,0,0,2,0,0
2020/1/29,China,Hubei,3554,87,125,840,35,25
2020/1/29,China,Hunan,221,0,0,78,0,0
2020/1/29,China,Jiangsu,99,1,0,29,0,0
2020/1/29,China,Hainan,43,0,1,3,0,0
2020/1/30,China,Taiwan,9,0,0,1,0,0
2020/1/30,China,Qinghai,8,0,0,2,0,0
2020/1/30,China,Shaanxi,63,0,0,7,0,0
2020/1/30,China,Shandong,158,1,0,28,0,0
2020/1/30,China,Shanghai,112,5,1,16,0,0
2020/1/30,China,Shanxi,35,1,0,8,0,0
2020/1/30,China,Sichuan,142,1,1,34,0,0
2020/1/30,China,Tianjin,31,0,0,4,0,0
2020/1/30,China,Ningxia,17,0,0,5,0,0
2020/1/30,China,Xizang,1,0,0,1,0,0
2020/1/30,China,Yunnan,70,0,0,15,0,0
2020/1/30,China,Zhejiang,428,4,0,132,1,0
2020/1/30,France,France,5,0,0,1,0,0
2020/1/30,Germany,Germany,4,0,0,0,0,0
2020/1/30,United States of America,United States of America,5,0,0,0,0,0
2020/1/30,else,else,65,8,0,11,2,0
2020/1/30,China,Xinjiang,14,0,0,1,0,0
2020/1/30,China,Neimenggu,18,0,0,2,0,0
2020/1/30,Korea,Korea,4,0,0,0,0,0
2020/1/30,China,Jilin,14,1,0,5,1,0
2020/1/30,China,Anhui,200,2,0,48,0,0
2020/1/30,China,Beijing,114,4,1,3,0,0
2020/1/30,China,Chongqing,182,1,0,35,0,0
2020/1/30,China,Fujian,101,0,0,17,0,0
2020/1/30,China,Gansu,26,0,0,2,0,0
2020/1/30,China,Guangdong,354,10,0,77,5,0
2020/1/30,China,Guangxi,78,2,0,20,0,0
2020/1/30,China,Guizhou,12,1,0,3,0,0
2020/1/30,China,Liaoning,41,1,0,2,0,0
2020/1/30,China,Hebei,65,0,1,17,0,0
2020/1/30,China,Jiangsu,129,1,0,30,0,0
2020/1/30,China,Hainan,46,1,1,3,1,0
2020/1/30,China,Hunan,277,2,0,56,2,0
2020/1/30,China,Jiangxi,162,5,0,53,2,0
2020/1/30,China,Hongkong,10,0,0,0,0,0
2020/1/30,China,Henan,278,2,2,72,1,0
2020/1/30,China,Heilongjiang,44,0,2,6,0,1
2020/1/30,China,Hubei,4903,90,162,1349,3,37
2020/1/31,China,Tianjin,32,0,0,1,0,0
2020/1/31,China,Qinghai,8,0,0,0,0,0
2020/1/31,China,Shaanxi,87,0,0,24,0,0
2020/1/31,China,Shandong,184,2,0,26,1,0
2020/1/31,China,Shanxi,39,1,0,4,0,0
2020/1/31,China,Sichuan,177,1,1,35,0,0
2020/1/31,China,Taiwan,10,0,0,1,0,0
2020/1/31,China,Xinjiang,17,0,0,3,0,0
2020/1/31,Germany,Germany,5,0,0,1,0,0
2020/1/31,China,Yunnan,83,1,0,13,1,0
2020/1/31,China,Zhejiang,538,14,0,110,10,0
2020/1/31,France,France,5,0,0,0,0,0
2020/1/31,China,Ningxia,21,0,0,4,0,0
2020/1/31,Italy,Italy,2,0,0,2,0,0
2020/1/31,Korea,Korea,11,0,0,7,0,0
2020/1/31,United States of America,United States of America,6,0,0,1,0,0
2020/1/31,else,else,82,8,0,17,0,0
2020/1/31,China,Xizang,1,0,0,0,0,0
2020/1/31,China,Neimenggu,20,1,0,2,1,0
2020/1/31,China,Shanghai,135,9,1,23,4,0
2020/1/31,China,Jilin,14,1,0,0,0,0
2020/1/31,China,Liaoning,48,1,0,7,0,0
2020/1/31,China,Beijing,139,5,1,25,1,0
2020/1/31,China,Chongqing,211,1,0,29,0,0
2020/1/31,China,Fujian,120,0,0,19,0,0
2020/1/31,China,Gansu,29,0,0,3,0,0
2020/1/31,China,Guangdong,436,11,0,82,1,0
2020/1/31,China,Guangxi,87,2,0,9,0,0
2020/1/31,China,Guizhou,29,2,0,17,1,0
2020/1/31,China,Hainan,52,1,1,6,0,0
2020/1/31,China,Anhui,237,3,0,37,1,0
2020/1/31,China,Heilongjiang,59,0,2,15,0,0
2020/1/31,China,Henan,352,3,2,74,1,0
2020/1/31,China,Hongkong,12,0,0,2,0,0
2020/1/31,China,Hubei,5806,141,204,903,51,42
2020/1/31,China,Hunan,332,2,0,55,0,0
2020/1/31,China,Jiangsu,168,5,0,39,4,0
2020/1/31,China,Jiangxi,240,7,0,78,2,0
2020/1/31,China,Hebei,82,0,1,17,0,0
2020/2/1,China,Shaanxi,101,0,0,14,0,0
2020/2/1,China,Shandong,206,3,0,22,1,0
2020/2/1,China,Shanghai,169,10,1,34,1,0
2020/2/1,else,else,97,9,0,15,1,0
2020/2/1,China,Sichuan,207,3,1,30,2,0
2020/2/1,China,Taiwan,10,0,0,0,0,0
2020/2/1,China,Tianjin,41,0,0,9,0,0
2020/2/1,China,Xinjiang,18,0,0,1,0,0
2020/2/1,France,France,6,0,0,1,0,0
2020/2/1,China,Yunnan,93,2,0,10,1,0
2020/2/1,China,Zhejiang,599,21,0,61,7,0
2020/2/1,Germany,Germany,1,0,0,-4,0,0
2020/2/1,Italy,Italy,2,0,0,0,0,0
2020/2/1,Korea,Korea,12,0,0,1,0,0
2020/2/1,Spain,Spain,7,0,0,7,0,0
2020/2/1,United States of America,United States of America,6,0,0,0,0,0
2020/2/1,China,Qinghai,9,0,0,1,0,0
2020/2/1,China,Xizang,1,0,0,0,0,0
2020/2/1,China,Neimenggu,23,1,0,3,0,0
2020/2/1,China,Shanxi,47,1,0,8,0,0
2020/2/1,China,Ningxia,26,0,0,5,0,0
2020/2/1,China,Anhui,297,5,0,60,2,0
2020/2/1,China,Beijing,168,9,1,29,4,0
2020/2/1,China,Chongqing,247,3,1,36,2,1
2020/2/1,China,Fujian,144,0,0,24,0,0
2020/2/1,China,Gansu,40,0,0,11,0,0
2020/2/1,China,Guangdong,535,14,0,99,3,0
2020/2/1,China,Guangxi,100,2,0,13,0,0
2020/2/1,China,Guizhou,29,2,0,0,0,0
2020/2/1,China,Hainan,62,1,1,10,0,0
2020/2/1,China,Liaoning,64,1,0,16,0,0
2020/2/1,China,Heilongjiang,80,2,2,21,2,0
2020/2/1,China,Henan,422,3,2,70,0,0
2020/2/1,China,Hongkong,13,0,0,1,0,0
2020/2/1,China,Hubei,7153,168,249,1347,27,45
2020/2/1,China,Hunan,389,8,0,57,6,0
2020/2/1,China,Jiangsu,202,6,0,34,1,0
2020/2/1,China,Jiangxi,286,9,0,46,2,0
2020/2/1,China,Jilin,17,1,0,3,0,0
2020/2/1,China,Hebei,96,0,1,14,0,0
2020/2/2,China,Taiwan,10,0,0,0,0,0
2020/2/2,China,Sichuan,231,11,1,24,8,0
2020/2/2,China,Shanxi,56,2,0,9,1,0
2020/2/2,China,Qinghai,11,0,0,2,0,0
2020/2/2,China,Shandong,230,6,0,24,3,0
2020/2/2,China,Shaanxi,116,0,0,15,0,0
2020/2/2,China,Tianjin,48,1,0,7,1,0
2020/2/2,China,Shanghai,182,10,1,13,0,0
2020/2/2,China,Xinjiang,21,0,0,3,0,0
2020/2/2,France,France,6,0,0,0,0,0
2020/2/2,China,Yunnan,105,3,0,12,1,0
2020/2/2,China,Zhejiang,661,32,0,62,11,0
2020/2/2,Germany,Germany,10,0,0,9,0,0
2020/2/2,Italy,Italy,2,0,0,0,0,0
2020/2/2,Korea,Korea,15,0,0,3,0,0
2020/2/2,Spain,Spain,7,0,0,0,0,0
2020/2/2,United States of America,United States of America,8,0,0,2,0,0
2020/2/2,China,Ningxia,28,0,0,2,0,0
2020/2/2,China,Xizang,1,0,0,0,0,0
2020/2/2,else,else,105,9,1,8,0,1
2020/2/2,China,Neimenggu,27,1,0,4,0,0
2020/2/2,China,Jilin,23,1,0,6,0,0
2020/2/2,China,Liaoning,70,1,0,6,0,0
2020/2/2,China,Anhui,340,7,0,43,2,0
2020/2/2,China,Beijing,191,9,1,23,0,0
2020/2/2,China,Chongqing,275,7,1,28,4,0
2020/2/2,China,Fujian,159,0,0,15,0,0
2020/2/2,China,Guangdong,632,15,0,97,1,0
2020/2/2,China,Guangxi,111,2,0,11,0,0
2020/2/2,China,Guizhou,38,2,0,9,0,0
2020/2/2,China,Gansu,40,3,0,0,3,0
2020/2/2,China,Hebei,104,3,1,8,3,0
2020/2/2,China,Hainan,64,4,1,2,3,0
2020/2/2,China,Jiangsu,236,7,0,34,1,0
2020/2/2,China,Hunan,463,16,0,74,8,0
2020/2/2,China,Hubei,9074,267,294,1921,99,45
2020/2/2,China,Jiangxi,333,12,0,47,3,0
2020/2/2,China,Henan,493,10,2,71,7,0
2020/2/2,China,Heilongjiang,95,2,2,15,0,0
2020/2/2,China,Hongkong,14,0,0,1,0,0
2020/2/3,China,Tianjin,60,1,0,12,0,0
2020/2/3,China,Shaanxi,128,0,0,12,0,0
2020/2/3,China,Shandong,259,7,0,29,1,0
2020/2/3,China,Shanghai,203,10,1,21,0,0
2020/2/3,China,Shanxi,66,2,0,10,0,0
2020/2/3,China,Sichuan,254,14,1,23,3,0
2020/2/3,China,Taiwan,10,0,0,0,0,0
2020/2/3,China,Xinjiang,24,0,0,3,0,0
2020/2/3,else,else,105,9,1,0,0,0
2020/2/3,China,Yunnan,114,5,0,9,2,0
2020/2/3,China,Zhejiang,724,43,0,63,11,0
2020/2/3,France,France,6,0,0,0,0,0
2020/2/3,Germany,Germany,10,0,0,0,0,0
2020/2/3,Italy,Italy,2,0,0,0,0,0
2020/2/3,Korea,Korea,15,0,0,0,0,0
2020/2/3,Spain,Spain,7,0,0,0,0,0
2020/2/3,United States of America,United States of America,9,0,0,1,0,0
2020/2/3,China,Xizang,1,0,0,0,0,0
2020/2/3,China,Qinghai,13,0,0,2,0,0
2020/2/3,China,Ningxia,31,1,0,3,1,0
2020/2/3,China,Liaoning,74,1,0,4,0,0
2020/2/3,China,Anhui,408,14,0,68,7,0
2020/2/3,China,Beijing,212,12,1,21,3,0
2020/2/3,China,Chongqing,312,8,2,37,1,1
2020/2/3,China,Fujian,179,1,0,20,1,0
2020/2/3,China,Gansu,51,3,0,11,0,0
2020/2/3,China,Guangdong,725,21,0,93,6,0
2020/2/3,China,Guangxi,127,7,0,16,5,0
2020/2/3,China,Guizhou,46,2,0,8,0,0
2020/2/3,China,Hainan,72,4,1,8,0,0
2020/2/3,China,Neimenggu,34,1,0,7,0,0
2020/2/3,China,Heilongjiang,121,2,2,26,0,0
2020/2/3,China,Henan,566,16,2,73,6,0
2020/2/3,China,Hongkong,15,0,0,1,0,0
2020/2/3,China,Hubei,11177,300,350,2103,33,56
2020/2/3,China,Hunan,521,22,0,58,6,0
2020/2/3,China,Jiangsu,271,8,0,35,1,0
2020/2/3,China,Jiangxi,391,18,0,58,6,0
2020/2/3,China,Jilin,31,1,0,8,0,0
2020/2/3,China,Hebei,113,3,1,9,0,0
2020/2/4,China,Tianjin,67,2,0,7,1,0
2020/2/4,China,Taiwan,11,0,0,1,0,0
2020/2/4,China,Sichuan,282,14,1,28,0,0
2020/2/4,China,Shaanxi,142,2,0,14,2,0
2020/2/4,China,Shandong,275,11,0,16,4,0
2020/2/4,China,Xinjiang,29,0,0,5,0,0
2020/2/4,China,Shanghai,219,12,1,16,2,0
2020/2/4,China,Xizang,1,0,0,0,0,0
2020/2/4,Germany,Germany,12,0,0,2,0,0
2020/2/4,China,Zhejiang,829,62,0,105,19,0
2020/2/4,France,France,6,0,0,0,0,0
2020/2/4,China,Qinghai,15,0,0,2,0,0
2020/2/4,Italy,Italy,2,0,0,0,0,0
2020/2/4,Korea,Korea,16,0,0,1,0,0
2020/2/4,Spain,Spain,7,0,0,0,0,0
2020/2/4,United States of America,United States of America,11,0,0,2,0,0
2020/2/4,else,else,126,9,1,21,0,0
2020/2/4,China,Yunnan,119,5,0,5,0,0
2020/2/4,China,Ningxia,34,1,0,3,0,0
2020/2/4,China,Shanxi,74,4,0,8,2,0
2020/2/4,China,Liaoning,81,2,0,7,1,0
2020/2/4,China,Anhui,480,20,0,72,6,0
2020/2/4,China,Beijing,228,23,1,16,11,0
2020/2/4,China,Chongqing,344,9,2,32,1,0
2020/2/4,China,Fujian,194,3,0,15,2,0
2020/2/4,China,Gansu,57,4,0,6,1,0
2020/2/4,China,Guangdong,813,30,0,88,9,0
2020/2/4,China,Guangxi,139,10,0,12,3,0
2020/2/4,China,Guizhou,58,2,0,12,0,0
2020/2/4,China,Hainan,80,5,1,8,1,0
2020/2/4,China,Neimenggu,35,1,0,1,0,0
2020/2/4,China,Heilongjiang,155,4,2,34,2,0
2020/2/4,China,Henan,675,27,2,109,11,0
2020/2/4,China,Hongkong,17,0,1,2,0,1
2020/2/4,China,Hubei,13522,397,414,2345,97,64
2020/2/4,China,Hunan,593,31,0,72,9,0
2020/2/4,China,Jiangsu,308,12,0,37,4,0
2020/2/4,China,Jiangxi,476,20,0,85,2,0
2020/2/4,China,Jilin,42,1,0,11,0,0
2020/2/4,China,Hebei,126,4,1,13,1,0
2020/2/5,China,Taiwan,11,0,0,0,0,0
2020/2/5,China,Sichuan,301,24,1,19,10,0
2020/2/5,China,Shanxi,81,5,0,7,1,0
2020/2/5,China,Qinghai,17,3,0,2,3,0
2020/2/5,China,Shandong,307,15,0,32,4,0
2020/2/5,China,Shaanxi,165,6,0,23,4,0
2020/2/5,China,Tianjin,69,2,1,2,0,1
2020/2/5,China,Shanghai,243,15,1,24,3,0
2020/2/5,China,Xinjiang,32,0,0,3,0,0
2020/2/5,France,France,6,0,0,0,0,0
2020/2/5,China,Yunnan,124,5,0,5,0,0
2020/2/5,China,Zhejiang,895,78,0,66,16,0
2020/2/5,Germany,Germany,12,0,0,0,0,0
