Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100M Freestyle,Silver
1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze
1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold
1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200M Freestyle,Silver
1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400M Freestyle,Silver
1896,Athens,Athletics,Athletics,"LANE, Francis",USA,Men,100M,Bronze
1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100M,Bronze
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,100M,Gold
1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100M,Silver
1896,Athens,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110M Hurdles,Gold
1896,Athens,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110M Hurdles,Silver
1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500M,Gold
1896,Athens,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500M,Silver
1896,Athens,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400M,Bronze
1896,Athens,Athletics,Athletics,"BURKE, Thomas",USA,Men,400M,Gold
1896,Athens,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400M,Silver
1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800M,Bronze
1896,Athens,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800M,Gold
1896,Athens,Athletics,Athletics,"DANI, Nandor",HUN,Men,800M,Silver
1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,Discus Throw,Bronze
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Discus Throw,Gold
1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,Discus Throw,Silver
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,High Jump,Gold
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,High Jump,Silver
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,High Jump,Silver
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Long Jump,Bronze
1896,Athens,Athletics,Athletics,"CLARK, Ellery",USA,Men,Long Jump,Gold
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Long Jump,Silver
1896,Athens,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,Marathon,Bronze
1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,Marathon,Gold
1896,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,Marathon,Silver
1896,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,Pole Vault,Bronze
1896,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,Pole Vault,Bronze
1896,Athens,Athletics,Athletics,"HOYT, William Welles",USA,Men,Pole Vault,Gold
1896,Athens,Athletics,Athletics,"TYLER, Albert",USA,Men,Pole Vault,Silver
1896,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,Shot Put,Bronze
1896,Athens,Athletics,Athletics,"GARRETT, Robert",USA,Men,Shot Put,Gold
1896,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,Shot Put,Silver
1896,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,Triple Jump,Bronze
1896,Athens,Athletics,Athletics,"CONNOLLY, James",USA,Men,Triple Jump,Gold
1896,Athens,Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,Triple Jump,Silver
1896,Athens,Cycling,Cycling Road,"BATTEL, Edward",GBR,Men,Individual Road Race,Bronze
1896,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Men,Individual Road Race,Gold
1896,Athens,Cycling,Cycling Road,"GOEDRICH, August",GER,Men,Individual Road Race,Silver
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,100KM,Gold
1896,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100KM,Silver
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,10KM,Bronze
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,10KM,Gold
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,10KM,Silver
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,12-Hour Race,Gold
1896,Athens,Cycling,Cycling Track,"KEEPING, Frank",GBR,Men,12-Hour Race,Silver
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,1KM Time Trial,Bronze
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,1KM Time Trial,Gold
1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,1KM Time Trial,Silver
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,Sprint Indivual,Bronze
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",FRA,Men,Sprint Indivual,Gold
1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint Indivual,Silver
1896,Athens,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men,Foil Individual,Bronze
1896,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",FRA,Men,Foil Individual,Gold
1896,Athens,Fencing,Fencing,"CALLOT, Henri",FRA,Men,Foil Individual,Silver
1896,Athens,Fencing,Fencing,"PYRGOS, Leonidas",GRE,Men,"Foil, Masters",Gold
1896,Athens,Fencing,Fencing,"PERRONNET, Maurice",FRA,Men,"Foil, Masters",Silver
1896,Athens,Fencing,Fencing,"NIELSEN, Holger",DEN,Men,Sabre Individual,Bronze
1896,Athens,Fencing,Fencing,"GEORGIADIS, Ioannis",GRE,Men,Sabre Individual,Gold
1896,Athens,Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Men,Sabre Individual,Silver
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,Horizontal Bar,Gold
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,Horizontal Bar,Silver
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,Parallel Bars,Gold
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,Parallel Bars,Silver
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,Pommel Horse,Gold
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,Pommel Horse,Silver
1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,Rings,Bronze
1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,Rings,Gold
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,Rings,Silver
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,Rope Climbing,Bronze
1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,Rope Climbing,Gold
1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,Rope Climbing,Silver
1896,Athens,Gymnastics,Artistic G.,"B_CKER, Konrad",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"R_STEL, Richard",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"B_CKER, Konrad",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"R_STEL, Richard",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"WEING_RTNER, Hermann",GER,Men,Vault,Bronze
1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,Vault,Gold
1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,Vault,Silver
1896,Athens,Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Men,25M Army Pistol,Bronze
1896,Athens,Shooting,Shooting,"PAINE, John",USA,Men,25M Army Pistol,Gold
1896,Athens,Shooting,Shooting,"PAINE, Sumner",USA,Men,25M Army Pistol,Silver
1896,Athens,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50M Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,"PAINE, Sumner",USA,Men,50M Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,50M Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"Army Rifle, 200M",Bronze
1896,Athens,Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"Army Rifle, 200M",Gold
1896,Athens,Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"Army Rifle, 200M",Silver
1896,Athens,Shooting,Shooting,"JENSEN, Viggo",DEN,Men,"Army Rifle, 300M",Bronze
1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"Army Rifle, 300M",Gold
1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"Army Rifle, 300M",Silver
1896,Athens,Tennis,Tennis,"FLACK, Edwin",ZZX,Men,Doubles,Bronze
1896,Athens,Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Men,Doubles,Bronze
1896,Athens,Tennis,Tennis,"BOLAND, John",ZZX,Men,Doubles,Gold
1896,Athens,Tennis,Tennis,"TRAUN, Friedrich",ZZX,Men,Doubles,Gold
1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,Doubles,Silver
1896,Athens,Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,Doubles,Silver
1896,Athens,Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,"BOLAND, John",GBR,Men,Singles,Gold
1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Men,Singles,Silver
1896,Athens,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,Heavyweight - One Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,Heavyweight - One Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,Heavyweight - One Hand Lift,Silver
1896,Athens,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,Heavyweight - Two Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,Heavyweight - Two Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,Heavyweight - Two Hand Lift,Silver
1896,Athens,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,Open Event,Bronze
1896,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,Open Event,Gold
1896,Athens,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,Open Event,Silver
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"DROST, Johannes",NED,Men,200M Backstroke,Bronze
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200M Backstroke,Gold
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200M Backstroke,Silver
1900,Paris,Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"KEMP, Peter",GBR,Men,200M Obstacle Event,Bronze
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200M Obstacle Event,Gold
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200M Obstacle Event,Silver
1900,Paris,Aquatics,Swimming,HOUBEN,FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,TARTARA,FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"FREY, Julius",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"HAINLE, Max",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"SCH_NE, Max",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,BERTRAND,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,CADET,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,VERBECKE,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Men,Underwater Swimming,Bronze
1900,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,Men,Underwater Swimming,Gold
1900,Paris,Aquatics,Swimming,"SIX, André",FRA,Men,Underwater Swimming,Silver
1900,Paris,Aquatics,Water polo,"BURGESS, Thomas",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,COULON,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"DECUYPER, Alphonse",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,DEVENOT,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,FARDELLE,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,FAVIER,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"LAUFRAY, Louis",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,LERICHE,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"MARTIN, Louis",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"MERCHEZ, Désiré",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"PESLIER, Henri",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,PESLOY,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"TREFFEL, Charles",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"VASSEUR, Paul",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"COE, Thomas",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"KEMP, Peter",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"LISTER, William",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"ROBINSON, Eric",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"WILKINSON, George",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"COHEN, Henri",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"DE BACKER, Jean",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"DE BEHR, Victor",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"MICHANT, Albert",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"SONNEMANS, Victor",BEL,Men,Water Polo,Silver
